FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://fred.stlouisfed.org,,,
Help: https://fredhelp.stlouisfed.org,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
PNICKUSDM,"Global price of Nickel, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PCOPPUSDM,"Global price of Copper, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PZINCUSDM,"Global price of Zinc, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
,,,
Frequency: Monthly,,,
observation_date,PNICKUSDM,PCOPPUSDM,PZINCUSDM
1990-01-01,7056.00000000000,2365.55699088135,1294.000000000000
1990-02-01,6977.00000000000,2358.94340000000,1394.000000000000
1990-03-01,9267.00000000000,2625.70272275848,1666.000000000000
1990-04-01,8939.00000000000,2685.22689088135,1686.000000000000
1990-05-01,8698.00000000000,2740.34239088135,1775.000000000000
1990-06-01,8422.00000000000,2583.81490911865,1715.000000000000
1990-07-01,9318.00000000000,2769.00302275848,1637.000000000000
1990-08-01,10957.00000000000,2956.39555455933,1615.000000000000
1990-09-01,10844.00000000000,3040.17084544067,1537.000000000000
1990-10-01,9145.00000000000,2742.54697724152,1353.000000000000
1990-11-01,8587.00000000000,2583.81490911865,1278.000000000000
1990-12-01,8158.00000000000,2484.60700911865,1265.000000000000
1991-01-01,8569.00000000000,2447.12820000000,1206.000000000000
1991-02-01,8672.00000000000,2447.12820000000,1188.000000000000
1991-03-01,8700.00000000000,2409.64939088135,1199.000000000000
1991-04-01,9023.00000000000,2471.37932275848,1254.000000000000
1991-05-01,8499.60937500000,2340.42467273560,1127.739990234380
1991-06-01,8296.50000000000,2218.06802725677,1067.449951171880
1991-07-01,8515.20117187500,2231.25534581909,1063.413330078130
1991-08-01,8154.75000000000,2236.18677692413,1047.739990234380
1991-09-01,7675.95312500000,2318.58300291138,1025.600097656250
1991-10-01,7453.86328125000,2360.64557547607,991.649902343750
1991-11-01,7258.50000000000,2375.66037788696,1100.650146484380
1991-12-01,7140.26367187500,2205.91849749756,1185.079101562500
1992-01-01,7531.13671875000,2150.57962901611,1157.659179687500
1992-02-01,7888.00000000000,2208.89225860596,1135.475097656250
1992-03-01,7430.45507812500,2231.78550956421,1217.772705078130
1992-04-01,7417.95117187500,2214.16681599274,1304.949951171880
1992-05-01,7333.94726562500,2219.31505581207,1377.736816406250
1992-06-01,7202.36328125000,2296.44193858643,1385.409179687500
1992-07-01,7516.17382812500,2527.28502240143,1320.409179687500
1992-08-01,7279.75000000000,2513.46998458252,1363.400146484380
1992-09-01,6918.57226562500,2419.61418178101,1367.119140625000
1992-10-01,6322.50000000000,2262.45696237183,1158.363769531250
1992-11-01,5593.71484375000,2161.78909368286,1052.238037109380
1992-12-01,5751.19042968750,2211.95028749237,1061.476196289060
1993-01-01,5948.10009765625,2264.21397077332,1067.574951171880
1993-02-01,6050.75000000000,2212.18139313507,1073.625000000000
1993-03-01,5974.91308593750,2152.38020099945,996.760864257813
1993-04-01,5987.50000000000,1953.62060192108,1006.000000000000
1993-05-01,5777.78955078125,1799.35169844818,979.263183593750
1993-06-01,5544.31835937500,1857.87070840454,928.227294921875
1993-07-01,5051.18164062500,1927.33981992645,930.068176269531
1993-08-01,4740.47607421875,1951.07137548676,886.833312988281
1993-09-01,4376.04541015625,1858.24999750519,875.727294921875
1993-10-01,4464.85693359375,1646.99992897491,918.571411132813
1993-11-01,4642.27294921875,1632.56810484467,929.386352539063
1993-12-01,5139.79980468750,1723.62507366180,975.534973144531
